organization_code,start_date,deployment_code,track_code,track_uri
SWFSC,2024-08-17T18:58:00Z,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_001/metadata/gps/CalCurCEAS_001_GPS.csv
SWFSC,2024-08-20T13:32:00Z,SWFSC_NEPac_20240820_CalCurCEAS_002,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_002/metadata/gps/CalCurCEAS_002_GPS.csv
SWFSC,2024-08-20T20:35:00Z,SWFSC_NEPac_20240820_CalCurCEAS_003,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_003/metadata/gps/CalCurCEAS_003_GPS.csv
SWFSC,2024-08-21T03:56:00Z,SWFSC_NEPac_20240821_CalCurCEAS_004,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_004/metadata/gps/CalCurCEAS_004_GPS.csv
SWFSC,2024-08-23T00:46:00Z,SWFSC_NEPac_20240823_CalCurCEAS_006,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_006/metadata/gps/CalCurCEAS_006_GPS.csv
SWFSC,2024-09-13T22:02:59Z,SWFSC_NEPac_20240913_CalCurCEAS_008,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_008/metadata/gps/CalCurCEAS_008_GPS.csv
SWFSC,2024-09-14T13:54:00Z,SWFSC_NEPac_20240914_CalCurCEAS_009,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_009/metadata/gps/CalCurCEAS_009_GPS.csv
SWFSC,2024-09-14T21:17:59Z,SWFSC_NEPac_20240914_CalCurCEAS_010,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_010/metadata/gps/CalCurCEAS_010_GPS.csv
SWFSC,2024-09-15T16:55:00Z,SWFSC_NEPac_20240915_CalCurCEAS_011,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_011/metadata/gps/CalCurCEAS_011_GPS.csv
SWFSC,2024-10-01T23:00:00Z,SWFSC_NEPac_20241001_CalCurCEAS_012,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_012/metadata/gps/CalCurCEAS_012_GPS.csv
SWFSC,2024-10-02T00:53:00Z,SWFSC_NEPac_20241002_CalCurCEAS_013,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_013/metadata/gps/CalCurCEAS_013_GPS.csv
SWFSC,2024-10-02T01:46:00Z,SWFSC_NEPac_20241002_CalCurCEAS_014,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_014/metadata/gps/CalCurCEAS_014_GPS.csv
SWFSC,2024-10-05T14:24:00Z,SWFSC_NEPac_20241005_CalCurCEAS_015,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_015/metadata/gps/CalCurCEAS_015_GPS.csv
SWFSC,2024-10-06T01:58:00Z,SWFSC_NEPac_20241006_CalCurCEAS_016,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_016/metadata/gps/CalCurCEAS_016_GPS.csv
SWFSC,2024-10-06T14:38:00Z,SWFSC_NEPac_20241006_CalCurCEAS_017,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_017/metadata/gps/CalCurCEAS_017_GPS.csv
SWFSC,2024-10-06T23:46:00Z,SWFSC_NEPac_20241006_CalCurCEAS_018,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_018/metadata/gps/CalCurCEAS_018_GPS.csv
SWFSC,2024-10-09T04:53:00Z,SWFSC_NEPac_20241009_CalCurCEAS_019,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_019/metadata/gps/CalCurCEAS_019_GPS.csv
SWFSC,2024-10-26T14:48:59Z,SWFSC_NEPac_20241026_CalCurCEAS_020,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_020/metadata/gps/CalCurCEAS_020_GPS.csv
SWFSC,2024-10-27T01:02:59Z,SWFSC_NEPac_20241027_CalCurCEAS_021,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_021/metadata/gps/CalCurCEAS_021_GPS.csv
SWFSC,2024-10-27T14:08:00Z,SWFSC_NEPac_20241027_CalCurCEAS_022,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_022/metadata/gps/CalCurCEAS_022_GPS.csv
SWFSC,2024-10-28T00:00:00Z,SWFSC_NEPac_20241028_CalCurCEAS_023,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_023/metadata/gps/CalCurCEAS_023_GPS.csv
SWFSC,2024-11-11T01:55:00Z,SWFSC_NEPac_20241111_CalCurCEAS_024,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_024/metadata/gps/CalCurCEAS_024_GPS.csv
SWFSC,2024-11-20T16:41:00Z,SWFSC_NEPac_20241120_CalCurCEAS_025,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_025/metadata/gps/CalCurCEAS_025_GPS.csv
SWFSC,2024-11-22T14:34:00Z,SWFSC_NEPac_20241122_CalCurCEAS_026,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_026/metadata/gps/CalCurCEAS_026_GPS.csv
SWFSC,2024-11-23T15:59:00Z,SWFSC_NEPac_20241123_CalCurCEAS_027,drifting-buoy_track,gs:/swfsc-1-working/2024_CalCurCEAS/drifting_recorder/CalCurCEAS_027/metadata/gps/CalCurCEAS_027_GPS.csv
